 ,XM,YM,BX,BY,Width,Height
57,383.111,1009.218,303.550,933.400,146.250,163.800
58,2830.995,975.697,2795.001,936.000,72.150,79.950
59,2412.669,981.193,2380.301,940.550,66.300,82.550
60,2609.278,978.953,2573.351,941.200,73.450,76.700
61,1397.041,987.202,1353.950,943.150,87.100,85.800
62,2003.018,988.154,1964.951,947.700,75.400,83.200
63,3027.997,983.652,3001.701,949.000,53.950,73.450
64,1575.970,1003.239,1537.251,958.750,72.800,89.050
65,2190.431,1002.771,2152.151,962.650,76.050,81.900
66,1204.628,1021.745,1160.900,971.100,88.400,102.050
67,1807.497,1018.628,1769.301,973.700,74.750,91.650
68,608.014,1023.246,564.200,978.900,85.150,92.300
69,763.555,1020.394,733.200,979.550,60.450,82.550
70,998.568,1035.136,963.950,991.250,68.250,90.350
71,3476.088,1090.934,3393.651,1014.650,195.650,133.250
72,3043.523,1062.489,3009.501,1021.150,70.200,79.950
73,3220.092,1076.403,3177.851,1024.400,90.350,100.750
74,2590.663,1068.263,2554.501,1028.300,73.450,80.600
75,2192.810,1090.625,2158.001,1045.850,68.900,91.000
76,2383.713,1086.181,2336.101,1046.500,93.600,79.950
77,2822.323,1080.243,2778.101,1047.800,82.550,64.350
78,2017.636,1091.269,1979.901,1056.900,76.700,69.550
